ingredient,occurrence_count
unknown,43499
paracetamol,29025
domperidone,17364
metformin,14925
clavulanic acid,13021
aceclofenac,12485
ofloxacin,12436
pantoprazole,12289
cefixime,11541
rabeprazole,11429
amoxicillin,10653
levocetirizine,9422
diclofenac,8889
montelukast,8724
glimepiride,8529
ceftriaxone,8377
methylcobalamin,8186
telmisartan,7982
cefpodoxime,7713
azithromycin,6991
serratiopeptidase,6966
sulbactam,5857
pregabalin,5346
phenylephrine,5341
amlodipine,5149
ornidazole,5072
chlorpheniramine maleate,4821
rosuvastatin,4786
ambroxol,4619
guaifenesin,4413
mefenamic acid,4336
nimesulide,4280
lactobacillus,4077
etoricoxib,3748
hydrochlorothiazide,3566
thiocolchicoside,3499
cefuroxime,3409
levosulpiride,3129
atorvastatin,3129
omeprazole,3052
voglibose,3050
chlorzoxazone,3046
deflazacort,2900
esomeprazole,2834
menthol,2814
ondansetron,2761
gabapentin,2715
levofloxacin,2682
dapagliflozin,2647
fexofenadine,2559
nortriptyline,2533
dextromethorphan hydrobromide,2412
pioglitazone,2379
sitagliptin,2329
terbutaline,2270
clonazepam,2265
clopidogrel,2232
levosalbutamol,2197
itraconazole,2178
metoprolol succinate,2096
aspirin,2049
folic acid,2041
drotaverine,1983
amikacin,1965
progesterone,1957
ketoconazole,1955
cefoperazone,1936
methylprednisolone,1906
moxifloxacin,1878
vildagliptin,1865
tramadol,1842
tazobactum,1796
clotrimazole,1796
luliconazole,1778
simethicone,1689
trypsin,1667
nandrolone decanoate,1602
escitalopram oxalate,1594
cetirizine,1576
chlorthalidone,1562
bromelain,1552
dicyclomine,1551
rutoside,1531
clobetasol,1513
ursodeoxycholic acid,1506
metronidazole,1471
terbinafine,1448
olmesartan medoxomil,1430
cilnidipine,1407
teneligliptin,1404
caffeine,1377
ciprofloxacin,1375
betahistine,1352
bromhexine,1348
gliclazide,1332
clindamycin,1313
atenolol,1305
tinidazole,1302
albendazole,1293
sucralfate,1264
fluconazole,1259
piperacillin,1233
cyproheptadine,1226
fenofibrate,1213
olanzapine,1205
tazobactam,1204
losartan,1191
oxetacaine,1169
ivermectin,1156
tranexamic acid,1132
neomycin,1132
alprazolam,1087
febuxostat,1078
acebrophylline,1026
piracetam,1011
dexamethasone,978
levetiracetam,958
doxycycline,956
mometasone,914
propranolol,910
cloxacillin,905
linezolid,903
ramipril,892
miconazole,892
clobetasol propionate,889
meropenem,871
tricholine citrate,864
tamsulosin,849
beclometasone,835
magaldrate,820
cefpodoxime proxetil,784
itopride,782
amitriptyline,778
salicylic acid,775
duloxetine,769
methyl salicylate,759
doxylamine,752
dutasteride,749
citicoline,737
ketorolac,736
niacinamide,729
gentamicin,725
diacerein,722
ibuprofen,722
paroxetine,697
torasemide,695
roxithromycin,684
povidone iodine,684
rifaximin,682
minoxidil,674
sildenafil,671
chlordiazepoxide,667
acetylcysteine,666
risperidone,655
ranitidine,645
ceftazidime,644
lidocaine,643
etizolam,642
sertraline,639
linagliptin,626
bilastine,623
norfloxacin,618
diphenhydramine,613
cefadroxil,609
carboxymethylcellulose,607
artesunate,605
linseed oil,598
prednisolone,596
ampicillin,592
isotretinoin,591
empagliflozin,588
naproxen,580
alpha lipoic acid,578
gatifloxacin,573
tacrolimus,573
lornoxicam,570
methyl sulfonyl methane,569
diclofenac sodium,569
quetiapine,568
artemether,567
betamethasone,564
tobramycin,563
trihexyphenidyl,562
divalproex,560
hydroxyzine,556
lumefantrine,551
permethrin,548
tretinoin,547
sodium chloride,544
fusidic acid,540
iron sucrose,539
cefalexin,533
calcium carbonate,530
dicloxacillin,527
doxofylline,523
bisoprolol,518
chloramphenicol,516
piroxicam,514
trypsin chymotrypsin,513
flunarizine,511
fluticasone propionate,494
aluminium hydroxide,492
escitalopram,491
cinnarizine,486
metoprolol,480
mupirocin,477
fluoxetine,476
thyroxine,476
nicotinamide,475
cefepime,472
silodosin,466
lansoprazole,464
clarithromycin,464
sodium citrate,460
glucosamine,460
lactulose,454
nebivolol,452
acyclovir,451
diclofenac diethylamine,443
budesonide,439
tadalafil,431
calcitriol,431
hydroquinone,428
cholecalciferol,428
sodium picosulfate,424
salbutamol,424
vitamin d3,416
ethamsylate,415
zinc,411
ezetimibe,406
tolperisone,405
amisulpride,401
alpha-beta arteether,397
chlorhexidine gluconate,387
flupenthixol,384
magnesium,380
etodolac,378
metformin hydrochloride,376
finasteride,374
hydrocortisone,368
cefuroxime axetil,360
formoterol,359
rifampicin,356
carvedilol,355
ammonium chloride,351
oxcarbazepine,349
valsartan,349
milk of magnesia,348
xylometazoline,348
faropenem,346
nitroglycerin,343
mometasone furoate,340
enoxaparin,339
sodium bicarbonate,338
aripiprazole,338
olmesartan,335
disodium hydrogen citrate,334
adapalene,334
sodium hyaluronate,333
norethisterone,332
dextromethorphan,332
zinc pyrithione,331
olopatadine,329
timolol,328
tizanidine,325
desloratadine,319
valproic acid,306
cefotaxime,300
chlorpheniramine,300
ferrous ascorbate,298
pyridoxine,298
hydroxyprogesterone,297
sorbitol,296
isoniazid,296
sparfloxacin,291
glucosamine sulfate potassium chloride,285
melitracen,285
pseudoephedrine,285
isoxsuprine,284
mirtazapine,276
sodium valproate,273
baclofen,271
shinto organics,270
spironolactone,268
methotrexate,268
pyridoxine hydrochloride,266
trifluoperazine,264
nepafenac,264
l-ornithine l-aspartate,260
tapentadol,260
loteprednol etabonate,255
calcium,254
cilastatin,253
liquid paraffin,251
imipenem,251
haloperidol,250
cephalexin,250
ethinyl estradiol,249
pancreatin,248
tofacitinib,248
letrozole,243
loratadine,240
dimethicone,239
glibenclamide,238
zolpidem,237
racecadotril,236
lorazepam,236
clobazam,235
enalapril,234
dydrogesterone,233
theophylline,231
lamotrigine,229
isosorbide mononitrate,229
benfotiamine,229
colistimethate sodium,229
desvenlafaxine,228
flupirtine,226
fluorometholone,225
cetrimide,224
venlafaxine,223
lactic acid bacillus,222
chymotrypsin,221
topiramate,218
nitrofurantoin,215
dapoxetine,213
erythromycin,213
flavoxate,212
repaglinide,210
promethazine,208
polyethylene glycol,207
