ingredient,drug_b,severity,side_effects,mechanism,clinical_action,confidence,created_at
domperidone,ketoconazole,Major,Increased risk of QT prolongation and serious cardiac arrhythmias.,"Ketoconazole inhibits CYP3A4, which metabolizes domperidone, leading to increased domperidone levels.","Avoid co-administration; if necessary, monitor ECG closely and consider alternative antiemetic.",1,2026-05-13
domperidone,erythromycin,Major,Increased risk of QT prolongation and serious cardiac arrhythmias.,"Erythromycin inhibits CYP3A4, which metabolizes domperidone, leading to increased domperidone levels.","Avoid co-administration; if necessary, monitor ECG closely and consider alternative antiemetic.",1,2026-05-13
domperidone,clarithromycin,Major,Increased risk of QT prolongation and serious cardiac arrhythmias.,"Clarithromycin inhibits CYP3A4, which metabolizes domperidone, leading to increased domperidone levels.","Avoid co-administration; if necessary, monitor ECG closely and consider alternative antiemetic.",1,2026-05-13
domperidone,itraconazole,Major,Increased risk of QT prolongation and serious cardiac arrhythmias.,"Itraconazole inhibits CYP3A4, which metabolizes domperidone, leading to increased domperidone levels.","Avoid co-administration; if necessary, monitor ECG closely and consider alternative antiemetic.",1,2026-05-13
domperidone,verapamil,Moderate,Increased risk of QT prolongation and cardiac arrhythmias.,"Verapamil can inhibit CYP3A4, potentially increasing domperidone levels.",Use with caution and monitor ECG for signs of QT prolongation.,1,2026-05-13
domperidone,diltiazem,Moderate,Increased risk of QT prolongation and cardiac arrhythmias.,"Diltiazem can inhibit CYP3A4, potentially increasing domperidone levels.",Use with caution and monitor ECG for signs of QT prolongation.,1,2026-05-13
domperidone,risperidone,Moderate,Increased risk of QT prolongation and cardiac arrhythmias.,Both drugs can prolong the QT interval; additive effect.,"Use with caution, monitor ECG, and consider alternatives if risk is high.",1,2026-05-13
domperidone,haloperidol,Moderate,Increased risk of QT prolongation and cardiac arrhythmias.,Both drugs can prolong the QT interval; additive effect.,"Use with caution, monitor ECG, and consider alternatives if risk is high.",1,2026-05-13
domperidone,amiodarone,Moderate,Increased risk of QT prolongation and cardiac arrhythmias.,Both drugs can prolong the QT interval; additive effect.,"Use with caution, monitor ECG, and consider alternatives if risk is high.",1,2026-05-13
domperidone,quinidine,Moderate,Increased risk of QT prolongation and cardiac arrhythmias.,Both drugs can prolong the QT interval; additive effect.,"Use with caution, monitor ECG, and consider alternatives if risk is high.",1,2026-05-13
aceclofenac,warfarin,Major,Increased risk of bleeding.,"NSAIDs can inhibit platelet aggregation and gastric mucosal defense, potentiating the anticoagulant effect of warfarin.",Monitor INR closely; consider alternative analgesic or reduce warfarin dose.,1,2026-05-13
aceclofenac,aspirin,Moderate,Increased risk of gastrointestinal bleeding and ulceration.,Additive effect on gastrointestinal mucosal damage and platelet inhibition.,Use with caution; consider gastroprotective agent or alternative NSAID.,1,2026-05-13
aceclofenac,ibuprofen,Moderate,Increased risk of gastrointestinal bleeding and ulceration.,Additive effect on gastrointestinal mucosal damage.,Use with caution; consider gastroprotective agent or alternative NSAID.,1,2026-05-13
aceclofenac,ramipril,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to sodium and water retention and reduced renal blood flow, counteracting the effects of ACE inhibitors.",Monitor blood pressure and renal function; use with caution.,1,2026-05-13
