Paracetamol	20568
Domperidone	10817
Metformin	9400
Aceclofenac	9337
Pantoprazole	8312
Ofloxacin	8158
Rabeprazole	7909
Clavulanic Acid	7259
Amoxicillin	6779
Diclofenac	6656
Levocetirizine	6326
Methylcobalamin	5958
Cefixime	5757
Montelukast	5683
Glimepiride	5443
Cefpodoxime	5329
Serratiopeptidase	5310
Telmisartan	5203
Azithromycin	5017
Phenylephrine	4492
Chlorpheniramine Maleate	4146
Ceftriaxone	4100
Guaifenesin	3847
Ambroxol	3709
Pregabalin	3668
Rosuvastatin	3453
Ornidazole	3347
Nimesulide	3261
Mefenamic Acid	3224
Amlodipine	3042
Sulbactam	2988
Lactobacillus	2678
Thiocolchicoside	2663
Menthol	2494
Etoricoxib	2469
Levosulpiride	2280
Cefuroxime	2257
Dextromethorphan Hydrobromide	2228
Deflazacort	2228
Chlorzoxazone	2185
Hydrochlorothiazide	2147
Atorvastatin	2064
Terbutaline	2043
Esomeprazole	1997
Nortriptyline	1962
Levofloxacin	1928
Omeprazole	1919
Dapagliflozin	1915
Metoprolol Succinate	1828
Fexofenadine	1822
Tazobactum	1795
Gabapentin	1766
Ondansetron	1705
Itraconazole	1668
Pioglitazone	1633
Amikacin	1599
Folic Acid	1598
Progesterone	1575
Sitagliptin	1573
Escitalopram Oxalate	1548
Voglibose	1524
Simethicone	1492
Nandrolone Decanoate	1474
Drotaverine	1451
Levosalbutamol	1449
Methylprednisolone	1436
Clonazepam	1433
Clopidogrel	1427
Aspirin	1382
Clobetasol	1348
Rutoside	1337
Bromelain	1333
Ketoconazole	1314
Trypsin	1268
Tramadol	1257
Ursodeoxycholic Acid	1235
Dicyclomine	1208
Olmesartan Medoxomil	1175
Moxifloxacin	1145
Caffeine	1144
Bromhexine	1141
Terbinafine	1109
Clotrimazole	1087
Luliconazole	1058
Cetirizine	1054
Metronidazole	1053
Chlorthalidone	1035
Cefoperazone	1019
Gliclazide	1002
Teneligliptin	1001
Oxetacaine	999
Sucralfate	991
Acebrophylline	974
Albendazole	934
Fluconazole	928
Tranexamic Acid	921
Ivermectin	904
Olanzapine	894
Febuxostat	880
Cyproheptadine	878
Alprazolam	877
Cilnidipine	876
Vildagliptin	876
Mometasone	854
Tinidazole	848
Atenolol	839
Beclometasone	823
Betahistine	822
Neomycin	809
Piperacillin	805
Fenofibrate	802
Losartan	787
Magaldrate	785
Piracetam	774
Propranolol	746
Tricholine Citrate	739
Linezolid	703
Doxylamine	698
Clindamycin	675
Ramipril	662
Diacerein	653
Meropenem	634
Amitriptyline	624
Torasemide	616
Levetiracetam	608
Tamsulosin	606
Niacinamide	602
Ciprofloxacin	597
Cloxacillin	595
Paroxetine	588
Acetylcysteine	585
Duloxetine	581
Methyl Salicylate	575
Chlordiazepoxide	563
Roxithromycin	562
Rifaximin	553
Diphenhydramine	553
Dexamethasone	550
Divalproex	546
Etizolam	546
Risperidone	542
Salicylic Acid	541
Lidocaine	532
Dutasteride	532
Ketorolac	528
Povidone Iodine	526
Itopride	522
Artesunate	521
Doxycycline	518
Hydroxyzine	516
Trihexyphenidyl	515
Miconazole	514
Sildenafil	511
Carboxymethylcellulose	508
Trypsin Chymotrypsin	505
Quetiapine	500
Ranitidine	496
Citicoline	493
Norfloxacin	488
Isotretinoin	486
Methyl Sulfonyl Methane	486
Linseed Oil	475
Ibuprofen	475
Flunarizine	469
Ampicillin	464
Alpha Lipoic Acid	460
Tretinoin	456
Linagliptin	454
Minoxidil	447
Cefalexin	447
Ceftazidime	431
Lornoxicam	431
Dicloxacillin	424
Sertraline	423
Gatifloxacin	416
Fluoxetine	414
Thyroxine	407
Iron Sucrose	405
Ethamsylate	404
Naproxen	401
Bilastine	396
Alpha-beta Arteether	396
Piroxicam	394
Doxofylline	393
Silodosin	388
Sodium Picosulfate	387
Hydroquinone	386
Sodium Citrate	384
Sodium Chloride	381
Tobramycin	378
Empagliflozin	378
Permethrin	377
Lumefantrine	377
Aluminium Hydroxide	376
Tacrolimus	373
Amisulpride	373
Betamethasone	371
Nicotinamide	367
Gentamicin	365
Fluticasone Propionate	357
Chloramphenicol	355
Lansoprazole	354
Artemether	349
Flupenthixol	346
Cefadroxil	346
Fusidic Acid	339
Tadalafil	338
Salbutamol	338
Disodium Hydrogen Citrate	332
Ammonium Chloride	331
Lactulose	331
Milk Of Magnesia	331
Glucosamine	327
Calcium Carbonate	321
Faropenem	320
Magnesium	319
Tolperisone	316
Cinnarizine	307
Calcitriol	304
Chlorhexidine Gluconate	303
Norethisterone	302
Diclofenac Diethylamine	296
Acyclovir	295
Formoterol	294
Sodium Bicarbonate	292
Cefepime	289
Hydroxyprogesterone	287
Etodolac	285
Budesonide	282
Glucosamine Sulfate Potassium Chloride	282
Finasteride	281
Nebivolol	280
Bisoprolol	279
Mupirocin	279
Oxcarbazepine	277
Isoxsuprine	274
Prednisolone	271
Shinto Organics	270
Sodium Hyaluronate	266
Nitroglycerin	264
Zinc	263
Rifampicin	263
Zinc Pyrithione	259
Enoxaparin	257
Sorbitol	253
Xylometazoline	252
Isoniazid	250
Trifluoperazine	247
Aripiprazole	246
Sparfloxacin	242
Desloratadine	241
L-ornithine L-aspartate	238
Melitracen	234
Hydrocortisone	230
Timolol	229
Loteprednol Etabonate	225
Ezetimibe	223
Racecadotril	221
Tapentadol	220
Ethinyl Estradiol	220
Clarithromycin	219
Mirtazapine	218
Tizanidine	217
Pancreatin	217
Haloperidol	214
Sodium Valproate	214
Liquid Paraffin	213
Spironolactone	211
Cetrimide	210
Olopatadine	209
Valsartan	209
Cefotaxime	208
Adapalene	206
D-panthenol	203
L-methyl Folate	202
Tofacitinib	201
Phenylpropanolamine	199
Lorazepam	198
Promethazine	197
Pseudoephedrine	193
Glibenclamide	191
Dimethicone	191
Zolpidem	190
Phosphate	189
Cilastatin	189
Imipenem	188
Nitrofurantoin	187
Methotrexate	185
Desvenlafaxine	184
Arteether	184
Loratadine	183
Polyethylene Glycol	183
Dydrogesterone	182
Letrozole	180
Flavoxate	179
Hydroxypropylmethylcellulose	177
Lactic Acid Bacillus	177
